epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.875,1.07521,2.97446,1.64355,0.00337,1,0.10271,0.05739,0.70812,3.59654,1.83525,8.335e-05,8.335e-05,8.335e-05
2,253.74,0.8281,2.81379,1.49213,0.00335,1,0.28739,0.1983,0.67001,3.56106,1.81703,0.000179739,0.000179739,0.000179739
3,370.242,0.6938,2.58114,1.33103,0.00341,0.81634,0.28614,0.18454,0.72674,3.57951,1.72669,0.000272168,0.000272168,0.000272168
4,483.483,0.63572,2.3638,1.30187,0.00339,1,0.52803,0.30347,0.71321,3.52585,1.69387,0.000360635,0.000360635,0.000360635
5,595.597,0.70612,2.17363,1.33345,0.00348,1,0.71707,0.43015,0.86737,3.54248,1.92325,0.000445142,0.000445142,0.000445142
6,708.154,0.73065,1.90166,1.35443,0.00355,1,0.74443,0.44641,1.03194,3.56097,1.97087,0.000525688,0.000525688,0.000525688
7,823.219,0.79524,1.62304,1.38362,0.98016,0.23727,0.80048,0.54887,0.86439,3.20495,1.93392,0.000602274,0.000602274,0.000602274
8,940.443,0.76598,1.34933,1.33245,0.81087,0.44996,0.86556,0.64449,0.83936,2.8857,1.86967,0.000674898,0.000674898,0.000674898
9,1049.52,0.71512,1.19928,1.33768,0.78548,0.51293,0.87245,0.65447,0.84427,2.79925,2.09035,0.000743562,0.000743562,0.000743562
10,1161.42,0.77161,1.11746,1.40804,0.92971,0.40196,0.76609,0.4055,1.171,3.12435,2.19413,0.000808265,0.000808265,0.000808265
11,1269.13,0.76223,1.08268,1.31988,0.68529,0.35791,0.49229,0.13204,2.22091,3.79984,3.26498,0.000869007,0.000869007,0.000869007
12,1382.52,0.74386,1.12715,1.34582,0.56475,0.67013,0.69058,0.21428,1.4881,3.30972,2.51976,0.000925788,0.000925788,0.000925788
13,1492.21,0.69711,1.00656,1.31148,0.91743,0.9026,0.95345,0.44386,0.77677,2.76318,1.86807,0.000978609,0.000978609,0.000978609
14,1603.2,0.65866,1.0222,1.30376,0.81731,0.82727,0.88248,0.42757,0.84792,2.93479,1.82783,0.00102747,0.00102747,0.00102747
15,1717.77,0.67757,0.97547,1.2963,0.70512,0.81435,0.82281,0.45741,0.98813,2.93945,1.95471,0.00107237,0.00107237,0.00107237
16,1827.87,0.7389,0.94648,1.33841,0.8121,0.93266,0.91913,0.51927,1.19793,2.3782,2.57654,0.00111331,0.00111331,0.00111331
17,1940.4,0.69575,0.95409,1.28638,0.8162,0.89255,0.94271,0.54578,1.23384,2.28813,2.61343,0.00113889,0.00113889,0.00113889
